#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                
       2.959204060854e-01       5.946986885447e-03      -2.383420064792e+04      -2.396467693550e+04       6.078303181075e-03      -6.052968622375e+02      -1.667139955712e+02      -2.367614052847e+04       1.453564438693e-02       1.453564438684e-02 
       3.058912742467e-01       5.676034826498e-03      -2.430787423774e+04      -2.443819519549e+04       5.801359891466e-03      -5.816771405466e+02      -1.595336038141e+02      -2.414407129823e+04       1.387233398205e-02       1.387233398197e-02 
       3.162257102067e-01       5.432010459995e-03      -2.486493423770e+04      -2.499224560692e+04       5.551940860394e-03      -5.603357639239e+02      -1.530672556955e+02      -2.469207131936e+04       1.327505647326e-02       1.327505647319e-02 
       3.269450993791e-01       5.190373085649e-03      -2.539871889752e+04      -2.552496838667e+04       5.304961987894e-03      -5.388035890338e+02      -1.466040890803e+02      -2.521868756417e+04       1.268370184200e-02       1.268370184193e-02 
       3.380737445939e-01       4.937649813989e-03      -2.583199578217e+04      -2.596191303352e+04       5.046651849943e-03      -5.156938523285e+02      -1.397736767180e+02      -2.564988199569e+04       1.206523236235e-02       1.206523236229e-02 
       3.496394311133e-01       4.682252809867e-03      -2.619502656664e+04      -2.633141520015e+04       4.785609708277e-03      -4.918979590141e+02      -1.328261085670e+02      -2.601396923243e+04       1.144034229669e-02       1.144034229664e-02 
       3.616741272040e-01       4.442653510052e-03      -2.659146758683e+04      -2.673251596896e+04       4.540715825338e-03      -4.693764626024e+02      -1.262908202532e+02      -2.640958271888e+04       1.085425102075e-02       1.085425102070e-02 
       3.742148631018e-01       4.227064682169e-03      -2.708673810802e+04      -2.722842888265e+04       4.320364560973e-03      -4.490401400577e+02      -1.204185291712e+02      -2.689955961348e+04       1.032705071757e-02       1.032705071753e-02 
       3.873048476750e-01       4.024973595811e-03      -2.762950546004e+04      -2.777052455290e+04       4.113809064354e-03      -4.298277841588e+02      -1.148664892229e+02      -2.743540267443e+04       9.832833343121e-03       9.832833343084e-03 
       4.009949061189e-01       3.822583484076e-03      -2.812639760954e+04      -2.826948086467e+04       3.906945907465e-03      -4.103018829719e+02      -1.092940178988e+02      -2.792817762509e+04       9.337660747084e-03       9.337660747052e-03 
