k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.7382508 150.19032 52.390377 205.48672 79.823339 324.53325 154.64051 522.1444 496.13908
0.74452658 148.3047 47.480496 197.56833 72.686459 318.05365 147.77911 516.19681 410.8623
0.75078711 146.68424 49.508838 199.50756 76.484157 318.06091 140.69976 519.85558 406.17006
0.75707585 144.34871 45.945581 190.22655 69.708385 316.96728 122.07931 500.70898 407.01625
0.76336412 140.94339 42.704606 191.68687 68.888675 303.61854 135.96275 462.79148 397.14824
0.7696463 138.73304 40.524344 187.23314 69.275031 302.99034 140.44571 471.86504 405.18448
0.77593949 138.75565 37.880292 184.80106 59.735747 304.26371 128.39198 453.59275 363.10432
0.78223291 134.74638 38.595206 180.9236 61.757194 286.43691 124.6088 436.18859 357.63339
0.78853149 132.16041 36.914305 179.69737 61.605915 285.82055 121.42055 420.255 336.83055
0.79478966 130.42685 35.113778 176.48883 66.275479 278.60972 113.58122 400.4206 318.85113
0.80104911 130.02067 37.784565 174.07328 62.192242 275.46643 107.24618 411.01619 300.33126
0.80733641 127.70504 34.799473 171.53145 60.719403 272.48377 112.47007 395.51345 331.7328
0.81362295 125.31105 33.554941 170.43247 56.351972 268.64646 118.88957 374.50572 333.55129
0.8199153 122.71567 31.893862 165.9958 55.071962 260.67103 116.34733 367.29878 292.15704
0.82619526 121.45376 34.383617 165.02913 55.646298 261.66894 111.51746 372.10969 338.24959
0.83248971 120.1031 32.183944 161.15726 52.482449 255.22482 114.08125 362.32023 357.54032
0.83879593 118.34099 34.637829 160.02802 50.57123 255.68016 114.65813 344.93705 330.08608
0.84506346 117.03941 28.424978 157.18015 55.699231 248.34252 115.40453 324.86149 333.87739
0.85132829 115.22831 27.602089 156.61047 48.499891 245.74109 114.93734 337.23704 311.06196
0.85761983 112.78759 30.04318 154.86321 53.216084 241.33503 103.96162 317.74272 330.07273
0.86390585 112.32582 29.125548 149.57082 48.821024 234.6696 102.73975 309.53822 281.03373
0.87018387 109.24837 27.054433 148.75688 46.99412 237.50797 89.115442 302.86014 263.8818
0.87646411 108.71003 26.859593 145.37978 40.526813 227.45092 102.90472 285.51629 300.36707
0.88275039 106.91917 25.961178 143.229 41.567066 223.80306 88.191387 273.83351 278.56423
0.88903328 105.82799 26.523441 141.84635 42.605543 220.38131 86.376288 285.54483 248.54633
0.89530842 103.99219 21.808102 139.75703 41.023959 214.80794 98.569779 255.99401 293.69656
0.90159565 102.87179 21.384276 138.26923 44.35609 213.6205 95.123343 252.33369 264.29056
0.90788333 101.79979 21.710892 139.27641 44.032662 208.63965 83.812878 248.97017 235.55539
0.91417441 100.30169 19.842953 137.19947 42.046308 210.24163 73.972883 232.23551 254.23637
0.92046308 100.02197 21.289758 134.99647 39.504069 203.53786 89.019436 238.54297 230.57196
0.92674344 98.076799 21.288401 131.29535 37.495884 204.39815 77.022701 215.4638 212.22192
0.93303242 97.725052 19.982878 128.88146 35.519951 199.86493 82.771729 202.02987 218.59879
0.93932658 95.181652 17.103919 127.45921 35.685403 194.63164 77.966044 209.81312 251.10935
0.94559748 93.687969 19.270096 125.60142 36.711961 193.58621 69.19415 203.72352 235.21607
0.951866 92.550928 16.048379 123.34506 35.227605 193.40713 75.026438 187.92854 218.68913
0.95814133 92.118862 17.963174 124.69688 31.402624 184.59315 69.365121 188.06417 255.46451
0.96443509 91.382944 17.546478 120.27477 34.289453 184.35339 79.410986 172.99911 202.88328
0.97073556 90.293877 18.624454 119.85314 32.272916 182.12936 73.465319 177.97994 232.22969
0.97700808 88.272514 16.988019 119.48119 31.743814 182.13744 64.712522 168.28295 202.50503
0.98328233 86.798608 15.852433 115.81865 33.426198 174.78801 62.356999 165.67404 199.40831
0.98955697 85.107374 14.641245 114.59173 28.801648 170.10592 64.862607 149.07201 214.45764
0.99584563 85.45803 16.076547 112.75462 30.283398 168.13859 59.508156 157.4589 235.25295
1.0021362 82.77826 15.015533 111.39494 29.591633 168.66529 70.408537 161.16503 208.92391
1.0084048 83.285321 13.683189 111.07157 28.170496 163.06562 64.120799 130.19945 202.36422
1.0146941 82.139336 12.446584 110.21632 30.398394 166.82348 60.587431 141.67311 210.19301
1.0209926 81.003682 12.069097 108.27358 30.697859 163.13871 69.116195 118.68279 181.98885
1.027274 80.704261 13.732771 106.58863 27.88245 158.00068 71.193717 121.9517 190.26425
1.0335592 79.788182 11.473926 107.11212 25.118638 156.13506 58.77902 127.4375 197.07359
1.0398476 78.528575 12.451939 104.41586 25.843587 150.48392 56.49627 115.50276 175.908
1.046127 77.580204 11.34978 102.42325 22.392946 148.31259 54.531396 111.58251 187.69639
1.0524034 75.753389 11.198074 101.99805 21.701749 145.59807 47.41384 98.995022 180.36779
1.0586807 75.706474 10.295057 100.627 21.182868 143.85734 51.93813 102.50881 196.20527
1.0649643 74.583795 8.6848943 98.992886 22.358648 141.75123 53.323938 93.970813 161.33472
1.0712568 72.844227 8.6529643 98.722951 23.366526 138.34042 52.712916 85.190202 172.68579
1.077544 73.866645 8.3711833 96.67424 21.429859 140.79764 47.235834 86.059042 165.57222
1.0838248 72.370069 10.580029 96.641238 22.004713 135.025 48.23474 79.345321 183.42823
1.090108 71.823254 10.450578 94.758717 24.25864 132.16779 56.198889 76.00771 160.27283
1.0963897 70.947996 10.393788 94.274962 19.891576 133.34928 46.273777 74.756142 161.86825
1.1026811 69.839033 10.210041 93.906077 22.055899 129.68997 62.556157 64.960356 149.24242
1.108963 68.345374 9.6276522 91.870197 19.197034 128.02026 48.21017 79.181421 166.04748
1.1152254 68.654247 8.1401027 90.014133 19.601149 126.00827 51.372982 66.589241 128.03736
1.1215021 67.821927 5.4191234 90.239715 16.890102 120.82552 45.186261 67.24196 132.58571
1.1277926 67.125968 5.7644115 87.057913 19.897774 124.23829 49.464529 55.554436 171.96402
1.1340896 66.18922 8.098793 87.387544 18.690381 119.58487 39.326559 60.113395 151.65139
1.140364 65.585801 6.8277985 86.560334 18.225554 120.34277 39.412956 41.686418 137.34041
1.1466392 64.760664 6.6380824 85.708211 17.142027 117.63211 45.570753 52.628633 147.07306
1.1529424 63.904555 8.8052143 83.518943 17.104183 115.33083 41.151867 49.987055 160.91403
1.1592289 62.882288 8.6729546 83.667754 17.016668 114.81803 32.516612 40.364876 133.17393
1.1655087 62.864029 6.8697997 82.029459 16.48528 112.43211 40.181004 46.565821 121.12381
1.1717931 61.964228 3.6886775 81.129167 18.30624 109.45425 33.036032 43.226745 138.62553
1.1780874 61.88827 6.2929781 81.686764 13.194435 113.52737 38.517509 31.23397 117.33432
1.1843677 60.742791 5.3818112 79.91415 15.401866 106.90561 32.250695 41.602286 124.87862
1.1906346 60.112934 5.9427988 78.744458 12.530141 107.99965 36.222596 37.998317 120.32533
1.1969122 58.99011 7.5537838 77.968538 15.651542 103.97443 37.250413 26.154625 110.99693
1.2032016 58.347753 4.4260609 76.984591 13.392431 108.05211 36.654666 19.866784 133.43836
1.2094868 57.806829 5.6121143 76.61349 12.114897 104.31275 38.269429 25.177094 140.7281
1.2157639 58.319814 5.5249657 75.467564 13.879123 103.5547 30.306949 15.092152 133.66728
1.2220498 57.062763 5.2018846 75.314058 11.662424 98.236004 27.65008 22.365983 128.64794
1.2283406 56.479381 6.1998252 72.848199 15.485565 98.236069 39.609367 19.208554 135.95471
1.234633 55.850072 6.1694759 72.420434 8.8960311 98.934082 29.553724 1.1072722 129.77938
1.2409022 55.048269 3.0823652 72.136926 14.287581 95.063435 30.821568 18.949401 119.48256
1.2471748 54.409621 3.5494556 72.130313 10.347368 92.410604 31.014586 10.935334 102.07332
1.2534655 55.17013 4.8953279 70.368509 10.969138 91.421909 27.475664 8.2012402 119.14886
1.25975 54.375842 3.8348065 69.527632 11.158383 89.380247 31.555492 4.5554882 116.85597
1.2660321 53.715852 4.3772626 68.656564 11.173052 91.220834 25.681598 3.4332373 100.50256
1.2723163 53.53524 3.9941256 67.877222 11.141185 86.480346 21.799158 5.9413105 100.5543
1.2786042 51.105082 3.3818358 67.667828 10.418357 84.521801 32.239637 -0.16525014 114.28349
1.2848866 52.372314 2.9833861 67.451452 10.396646 87.703834 23.115766 -2.716086 103.30291
1.2911754 50.743506 2.9528226 66.52681 11.002481 83.596063 28.448028 -1.3281406 126.03193
1.2974657 50.070727 2.3564583 65.256724 8.6075395 82.652867 26.252027 -5.7874994 116.30291
1.3037418 50.25237 3.387168 65.248673 10.305049 79.777383 29.008477 -2.9919729 107.8266
1.3100173 49.405616 4.0047168 63.172508 9.7348529 76.456124 22.24916 -7.4992639 124.8654
1.3163014 49.516105 2.8861407 64.028461 7.6057069 78.329921 27.507821 -4.4752986 126.70368
1.3225868 48.966479 3.2821581 62.164775 12.063301 77.93728 26.27581 -9.025071 122.35697
1.3288655 48.683303 2.7215388 62.777884 6.2895835 77.869254 27.086793 -10.075873 99.449029
1.3351448 47.732921 3.3172179 61.365472 9.2754956 74.946801 26.505941 -14.192465 97.529714
